id,geo,suburb,postcode,rent,Monash University - Clayton,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3150, 'Brandon Park')","(-37.88, 145.17)",Brandon Park,3150,340,3.6 km,712,18,22,TRUE,3.6 km,25.9 km,28,76
"(3149, 'Pinewood')","(-37.88, 145.13)",Pinewood,3149,240,4.0 km,625,16,14,TRUE,4.0 km,22.1 km,25,68
"(3167, 'Oakleigh South')","(-37.93, 145.1)",Oakleigh South,3167,280,5.1 km,939,24,26,TRUE,5.1 km,19.8 km,29,51
"(3171, 'Sandown Village')","(-37.95, 145.16)",Sandown Village,3171,280,5.2 km,1652,19,40,TRUE,5.2 km,28.1 km,31,62
"(3166, 'Oakleigh')","(-37.9, 145.08)",Oakleigh,3166,280,5.3 km,369,19,18,TRUE,5.3 km,17.3 km,25,39
"(3149, 'Syndal')","(-37.88, 145.13)",Syndal,3149,340,5.3 km,712,18,15,TRUE,5.3 km,20.2 km,28,43
"(3169, 'Clayton South')","(-37.94, 145.1)",Clayton South,3169,340,5.4 km,1168,43,38,TRUE,5.4 km,24.5 km,34,60
"(3149, 'Mount Waverley')","(-37.88, 145.13)",Mount Waverley,3149,240,5.7 km,576,20,19,TRUE,5.7 km,18.5 km,28,42
"(3166, 'Hughesdale')","(-37.9, 145.08)",Hughesdale,3166,290,6.2 km,740,25,20,TRUE,6.2 km,16.5 km,23,42
"(3171, 'Springvale')","(-37.95, 145.16)",Springvale,3171,280,6.2 km,163,27,47,TRUE,6.2 km,25.1 km,34,48
"(3150, 'Wheelers Hill')","(-37.88, 145.17)",Wheelers Hill,3150,340,6.4 km,712,26,26,TRUE,6.4 km,26.7 km,29,68
"(3170, 'Mulgrave')","(-37.87, 145.1)",Mulgrave,3170,340,6.8 km,309,31,34,TRUE,6.8 km,29.4 km,32,73
"(3169, 'Clarinda')","(-37.94, 145.1)",Clarinda,3169,340,6.8 km,114,33,35,TRUE,6.8 km,24.6 km,32,59
"(3163, 'Murrumbeena')","(-37.89, 145.06)",Murrumbeena,3163,300,7.1 km,360,32,27,TRUE,7.1 km,16.6 km,25,44
"(3170, 'Waverley Gardens')","(-37.87, 145.1)",Waverley Gardens,3170,340,7.4 km,436,30,25,TRUE,7.4 km,31.2 km,31,79
"(3151, 'Burwood East')","(-37.86, 145.14)",Burwood East,3151,338,7.4 km,1473,20,17,TRUE,7.4 km,22.7 km,32,57
"(3150, 'Glen Waverley')","(-37.88, 145.17)",Glen Waverley,3150,340,8.0 km,712,20,37,TRUE,8.0 km,22.1 km,30,55
"(3172, 'Springvale South')","(-37.97, 145.12)",Springvale South,3172,280,8.4 km,907,40,30,TRUE,8.4 km,27.6 km,38,65
"(3165, 'Bentleigh East')","(-37.93, 145.06)",Bentleigh East,3165,300,8.5 km,431,39,42,TRUE,8.5 km,18.2 km,29,49
"(3204, 'Ormond')","(-37.92, 145.04)",Ormond,3204,250,9.4 km,795,27,24,TRUE,9.4 km,14.5 km,27,38
"(3147, 'Ashwood')","(-37.86, 145.08)",Ashwood,3147,300,9.7 km,2008,40,48,TRUE,9.7 km,15.2 km,25,52
"(3130, 'Blackburn South')","(-37.82, 145.15)",Blackburn South,3130,315,9.8 km,1421,32,28,TRUE,9.8 km,21.2 km,34,58
"(3174, 'Noble Park North')","(-37.97, 145.18)",Noble Park North,3174,270,9.8 km,2221,37,52,TRUE,9.8 km,28.0 km,34,52
"(3202, 'Heatherton')","(-37.97, 145.21)",Heatherton,3202,250,9.8 km,486,37,29,TRUE,9.8 km,28.2 km,34,71
"(3148, 'Holmesglen')","(-37.89, 145.08)",Holmesglen,3148,300,9.9 km,2008,43,39,TRUE,9.9 km,16.4 km,22,53
"(3148, 'Chadstone')","(-37.89, 145.08)",Chadstone,3148,300,9.9 km,2008,43,39,TRUE,9.9 km,16.4 km,22,53
"(3148, 'Chadstone Centre')","(-37.89, 145.08)",Chadstone Centre,3148,300,9.9 km,2008,43,39,TRUE,9.9 km,16.4 km,22,53
"(3174, 'Noble Park')","(-37.97, 145.18)",Noble Park,3174,355,9.9 km,1312,37,52,TRUE,9.9 km,28.0 km,34,52
"(3174, 'Noble Park East')","(-37.97, 145.18)",Noble Park East,3174,270,9.9 km,2221,37,52,TRUE,9.9 km,28.0 km,34,52
"(3179, 'Scoresby')","(-37.86, 145.26)",Scoresby,3179,270,9.9 km,992,39,38,TRUE,9.9 km,30.1 km,33,77
