,id,geo,suburb,postcode,rent,Monash University - Caulfield,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
100,"(3149, 'Syndal')","(-37.88, 145.13)",Syndal,3149,340,7.898949472,712,48,36,TRUE,17.6 km,20.2 km,28,43
101,"(3149, 'Pinewood')","(-37.88, 145.13)",Pinewood,3149,240,7.898949472,625,47,52,TRUE,16.3 km,22.1 km,25,68
102,"(3002, 'East Melbourne')","(-37.82, 144.99)",East Melbourne,3002,360,7.986523185,1022,27,26,TRUE,11.5 km,1.9 km,8,11
103,"(3191, 'Sandringham')","(-37.95, 145.01)",Sandringham,3191,340,8.216526462,475,39,39,TRUE,13.2 km,19.4 km,37,51
104,"(3125, 'Surrey Hills South')","(-37.84, 145.12)",Surrey Hills South,3125,330,8.313134907,1002,44,47,TRUE,12.7 km,15.1 km,27,66
105,"(3206, 'Middle Park')","(-37.84, 144.96)",Middle Park,3206,300,8.313134907,851,47,49,TRUE,18.0 km,5.6 km,18,30
106,"(3206, 'Albert Park')","(-37.84, 144.96)",Albert Park,3206,300,8.313134907,851,41,43,TRUE,14.7 km,4.7 km,18,23
107,"(3125, 'Burwood')","(-37.84, 145.12)",Burwood,3125,330,8.313134907,1002,44,47,TRUE,12.7 km,15.1 km,27,66
108,"(3169, 'Clarinda')","(-37.94, 145.1)",Clarinda,3169,340,8.498202755,114,32,42,TRUE,12.3 km,24.6 km,32,59
109,"(3169, 'Clayton South')","(-37.94, 145.1)",Clayton South,3169,340,8.498202755,1168,35,35,TRUE,12.6 km,24.5 km,34,60
110,"(3127, 'Mont Albert')","(-37.82, 145.1)",Mont Albert,3127,330,8.500860565,1002,41,39,TRUE,19.9 km,15.5 km,29,40
111,"(3127, 'Surrey Hills')","(-37.82, 145.1)",Surrey Hills,3127,240,8.500860565,704,38,36,TRUE,19.0 km,14.5 km,28,36
112,"(3127, 'Surrey Hills North')","(-37.82, 145.1)",Surrey Hills North,3127,240,8.500860565,704,38,36,TRUE,19.0 km,14.5 km,28,36
113,"(3103, 'Balwyn')","(-37.81, 145.08)",Balwyn,3103,300,8.539416219,20,58,34,FALSE,20.8 km,11.4 km,29,44
114,"(3103, 'Balwyn East')","(-37.81, 145.08)",Balwyn East,3103,300,8.539416219,11,58,34,FALSE,20.8 km,11.4 km,29,44
115,"(3800, 'Monash University')","(-37.91, 145.13)",Monash University,3800,288,8.572974696,140,27,32,TRUE,10.1 km,22.2 km,28,55
116,"(3102, 'Kew East')","(-37.8, 145.05)",Kew East,3102,300,8.93884465,105,40,36,TRUE,10.9 km,11.9 km,24,51
117,"(3168, 'Notting Hill')","(-37.93, 145.12)",Notting Hill,3168,280,8.954098453,427,37,40,TRUE,13.0 km,23.8 km,26,73
118,"(3168, 'Clayton')","(-37.93, 145.12)",Clayton,3168,280,8.954098453,939,41,45,TRUE,11.2 km,25.3 km,31,69
