id,geo,suburb,postcode,rent,RMIT University - Brunswick,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3206, 'Middle Park')","(-37.84, 144.96)",Middle Park,3206,300,9.067505943,851,56,46,TRUE,13.0 km,5.6 km,18,30
"(3004, 'St Kilda Road Central')","(-37.84, 144.98)",St Kilda Road Central,3004,300,9.564685065,4831,33,39,TRUE,13.1 km,2.8 km,13,17
"(3086, 'La Trobe University')","(-37.72, 145.05)",La Trobe University,3086,330,10.64622043,412.5140736,51,47,TRUE,13.1 km,18.5 km,36,52
"(8004, 'St Kilda Road')","(-37.84, 144.98)",St Kilda Road,8004,280,9.564685065,6,37,43,TRUE,13.4 km,3.9 km,15,21
"(3004, 'Melbourne')","(-37.84, 144.98)",Melbourne,3004,300,9.564685065,4831,52,50,TRUE,13.4 km,2.9 km,14,25
"(3083, 'La Trobe University')","(-37.7, 145.07)",La Trobe University,3083,300,13.23708116,1995,61,56,TRUE,13.4 km,19.2 km,37,60
"(3083, 'Kingsbury')","(-37.7, 145.07)",Kingsbury,3083,300,13.23708116,360,52,54,TRUE,13.5 km,15.2 km,37,71
"(3206, 'Albert Park')","(-37.84, 144.96)",Albert Park,3206,300,9.067505943,851,43,47,TRUE,13.6 km,4.7 km,18,23
"(3041, 'Strathmore Heights')","(-37.74, 144.91)",Strathmore Heights,3041,300,3.450043147,38,40,36,TRUE,13.8 km,17.3 km,29,55
"(3084, 'Rosanna')","(-37.74, 145.09)",Rosanna,3084,330,13.37431042,277,50,63,TRUE,13.8 km,15.4 km,31,40
"(3015, 'Spotswood')","(-37.84, 144.88)",Spotswood,3015,290,10.34033013,235,30,44,TRUE,13.9 km,11.3 km,23,28
"(3025, 'Altona Gate')","(-37.84, 144.86)",Altona Gate,3025,250,11.33743109,909,50,73,TRUE,14.1 km,12.2 km,29,30
"(3043, 'Gowanbrae')","(-37.69, 144.88)",Gowanbrae,3043,295,9.403846356,77,61,55,TRUE,14.2 km,15.9 km,30,71
"(3122, 'Hawthorn')","(-37.84, 145.05)",Hawthorn,3122,350,13.13541528,3899,38,53,TRUE,14.4 km,8.9 km,18,26
"(3122, 'Hawthorn North')","(-37.84, 145.05)",Hawthorn North,3122,350,13.13541528,3899,38,53,TRUE,14.4 km,8.9 km,18,26
"(3015, 'South Kingsville')","(-37.84, 144.88)",South Kingsville,3015,290,10.34033013,104,60,64,TRUE,14.7 km,16.2 km,24,48
"(3079, 'Ivanhoe East')","(-37.77, 145.04)",Ivanhoe East,3079,350,8.860346773,88,46,66,TRUE,14.8 km,12.4 km,24,39
"(3042, 'Keilor Park')","(-37.71, 144.89)",Keilor Park,3042,300,7.088290459,215,72,55,TRUE,14.9 km,17.6 km,30,78
"(3012, 'Brooklyn')","(-37.81, 144.85)",Brooklyn,3012,260,9.667737322,344,50,70,TRUE,14.9 km,12.8 km,24,42
"(3055, 'Brunswick West')","(-37.77, 144.94)",Brunswick West,3055,290,1.111950837,1041,16,16,TRUE,2.4 km,8.1 km,24,41
"(3057, 'Lygon Street North')","(-37.76, 144.98)",Lygon Street North,3057,350,3.516356397,796,11,11,TRUE,2.4 km,6.0 km,20,31
"(3056, 'Brunswick North')","(-37.76, 144.94)",Brunswick North,3056,320,0,2582,16,21,TRUE,2.8 km,7.5 km,23,42
"(3055, 'Moreland West')","(-37.77, 144.94)",Moreland West,3055,290,1.111950837,1041,18,18,TRUE,3.0 km,8.9 km,23,42
"(3054, 'Carlton North')","(-37.78, 144.97)",Carlton North,3054,320,3.44949804,459,12,10,TRUE,3.2 km,4.7 km,15,22
"(3054, 'Princes Hill')","(-37.78, 144.97)",Princes Hill,3054,320,3.44949804,190,15,14,TRUE,3.3 km,4.7 km,16,27
"(3057, 'Sumner')","(-37.76, 144.98)",Sumner,3057,350,3.516356397,796,10,21,TRUE,3.3 km,5.6 km,19,26
"(3032, 'Travancore')","(-37.78, 144.92)",Travancore,3032,330,2.834800411,136,25,35,TRUE,3.4 km,5.0 km,21,28
"(3057, 'Brunswick East')","(-37.76, 144.98)",Brunswick East,3057,350,3.516356397,796,13,17,TRUE,3.5 km,5.8 km,21,26
"(3039, 'Moonee Ponds')","(-37.77, 144.92)",Moonee Ponds,3039,330,2.080194067,1294,19,18,TRUE,3.6 km,7.2 km,25,36
"(3032, 'Ascot Vale')","(-37.78, 144.92)",Ascot Vale,3032,330,2.834800411,1177,21,19,TRUE,3.6 km,5.7 km,21,27
"(3058, 'Coburg')","(-37.73, 144.96)",Coburg,3058,310,3.770988726,1869,17,18,TRUE,4.3 km,8.5 km,28,35
"(3052, 'Parkville')","(-37.8, 144.96)",Parkville,3052,255,4.782517453,759,22,22,TRUE,4.3 km,4.2 km,18,27
"(3044, 'Pascoe Vale South')","(-37.73, 144.94)",Pascoe Vale South,3044,310,3.335852512,438,25,25,TRUE,4.4 km,12.0 km,23,41
"(3068, 'Fitzroy North')","(-37.79, 144.99)",Fitzroy North,3068,330,5.517247119,1006,18,15,TRUE,4.6 km,4.7 km,17,23
"(3051, 'Hotham Hill')","(-37.91, 145.06)",Hotham Hill,3051,310,19.72953961,1788,25,23,TRUE,4.8 km,3.2 km,19,20
"(3031, 'Flemington')","(-37.79, 144.93)",Flemington,3031,320,3.449695081,993,24,28,TRUE,4.9 km,6.4 km,22,32
"(3010, 'University Of Melbourne')","(-37.8, 144.96)",University Of Melbourne,3010,300,4.782517453,412.5140736,13,12,TRUE,4.9 km,2.0 km,10,11
"(3052, 'Melbourne University')","(-37.8, 144.96)",Melbourne University,3052,300,4.782517453,759,13,12,TRUE,4.9 km,2.0 km,10,11
"(3050, 'Royal Melbourne Hospital')","(-37.8, 144.96)",Royal Melbourne Hospital,3050,300,4.782517453,412.5140736,16,15,TRUE,5.0 km,2.1 km,13,13
"(3058, 'Moreland')","(-37.73, 144.96)",Moreland,3058,310,3.770988726,1869,21,21,TRUE,5.1 km,9.5 km,30,40
